№; region;customer; type; receiver;win; model; ;final price; trades date
3963;Республика Дагестан;КОМИТЕТ ПО ГОСУДАРСТВЕННЫМ ЗАКУПКАМ РЕСПУБЛИКИ ДАГЕСТАН;РХА;УРИ;Гелпик;Ренекс;1;8 000 000,00;20.10.2020 9:40
3964;Архангельская область;КОНТРАКТНОЕ АГЕНТСТВО АО;АГ;ПП;Philips;Azurion 7 M20 (вариант 1);1;63 077 530,00;19.10.2020 13:30
3965;Омская область;"КУ ОО ""ЦЕНТР ЗАКУПОК В СФЕРЕ ЗДРАВООХРАНЕНИЯ""";МРТ;1,5;;;1;;20.10.2020 9:50
3966;Ростовская область;"ФКУ ""СКОУМТС МВД РОССИИ""";;КТ;;;1;не состоялся;21.10.2020 10:45
3967;Ростовская область;"ФКУ ""СКОУМТС МВД РОССИИ""";КТ;64;МТЛ;Revolution EVO ;1;44 000 000,00;21.10.2020 10:30
3968;Удмуртская Республика;"ГКУ УР ""РЦЗ УР""";АПР;П;н/д;;1;862 875,02;20.10.2020 11:35
3969;Удмуртская Республика;"ГКУ УР ""РЦЗ УР""";АПР;П;н/д;;1;3 314 999,97;20.10.2020 11:35
3970;Краснодарский край;"ГКУ КК ""ДГЗ""";Фа;СЛ;Амико;КФП-Ц-РП по ТУ 9442-020-42254364-2009 на базе шасси КАМАЗ;1;12 800 000,00;21.10.2020 10:55
3971;Саратовская область;"ГУЗ ""СОКГВВ""";КРТ;ППД1;Рениннмед;"""РИМ АМ"" ";1;21 300 000,00;22.10.2020 10:14
3972;Смоленская область;"ФИНАНСОВОЕ УПРАВЛЕНИЕ АДМ. МО ""СЫЧЕВСКИЙ РАЙОН""";КРД-3;УРИ+ППМ;Гелпик;«РЕНЕКС-РЦ» ;1;18 672 334,00;21.10.2020 13:05
3973;Смоленская область;"ФИНАНСОВОЕ УПРАВЛЕНИЕ АДМ. МО ""СЫЧЕВСКИЙ РАЙОН""";КРД-3;УРИ+ППМ;Гелпик;«РЕНЕКС-РЦ» ;1;18 672 334,00;21.10.2020 13:05
3974;Томская область;"ОГАУЗ ""ПОЛИКЛИНИКА №10""";КРД-2;ППС;Электрон;"АРЦ-""ОКО"" ";1;14734750;
3975;Калужская область;ГАУЗ КО КОСЦИЗ И СПИД;КТ;32;н/д;япония;1;37 233 000,00;
3976;Амурская область;УПРАВЛЕНИЕ ГОСЗАКАЗА ОБЛАСТИ;Ма;;Амико;Кабинет маммографический подвижный КМП-«РП»;1;21 800 000,00;27.10.2020 10:35
3977;Амурская область;УПРАВЛЕНИЕ ГОСЗАКАЗА ОБЛАСТИ;Ма;;Амико;Кабинет маммографический подвижный КМП-«РП»;1;21 800 000,00;27.10.2020 10:35
3978;Амурская область;УПРАВЛЕНИЕ ГОСЗАКАЗА ОБЛАСТИ;Ма;;Амико;Кабинет маммографический подвижный КМП-«РП»;1;21 800 000,00;27.10.2020 10:35
3979;Краснодарский край;"ГКУ КК ""ДГЗ""";Фа;СЛ;Амико;КФП-Ц-РП по ТУ 9442-020-42254364-2009 на базе шасси КАМАЗ ;1;12 800 000,00;26.10.2020 11:30
3980;Приморский край;"КГКУ ""ПРИМЗАКУПКИ""";АПР;ППМ;Гелпик;Ренекс;1;6 200 000,00;23.10.2020 10:15
3981;Новосибирская область;"ГКУ НСО ""УКСИС""";КРТ;УРИ+ППМ;Рениннмед;«РИМ АМ» 90/90 65;1;22 774 841,65;23.10.2020 10:15
3982;Москва;"ГБУЗ ""ГКБ №40 ДЗМ""";;РХА;;;1;не состоялся;23.10.2020 10:05
3983;Москва;"ФКУ ""ЦОУМТС МВД РОССИИ""";КРТ;УРИ+ППМ;Электрон;Система универсальная рентгеновская СУР 90/30 55;1;19 030 668,00;23.10.2020 10:55
3984;Санкт-Петербург;"ГБУ ""Санкт-Петербургская горветстанция""";КРД-2/Смвет;ППС;;;1;;14.10.2020 19:41
3985;Санкт-Петербург;"ГБУ ""Санкт-Петербургская горветстанция""";КРД-2/Смвет;ППС;;;1;;14.10.2020 19:41
3986;Санкт-Петербург;"ГБУ ""Санкт-Петербургская горветстанция""";КРД-2/Смвет;ППС;;;1;;14.10.2020 19:41
3987;Санкт-Петербург;"ГБУ ""Санкт-Петербургская горветстанция""";КРД-2/Смвет;ППС;;;1;;14.10.2020 19:41
3988;Калужская область;ГАУЗ КО КОСЦИЗ и СПИД;КТ;32;н/д;;1;37 233 000,00;09.10.2020 19:58
3989;Челябинская область;"ГАУЗ ""ГОРОДСКАЯ БОЛЬНИЦА № 2 Г. МАГНИТОГОРСК""";АПР;П;н/д;;1;2 378 050,00;
3990;Нижегородская область;"ГБУ НО ""ГОСВЕТУПРАВЛЕНИЕ ГО Г.Н.НОВГОРОД""";АПРвет;ППМ;;;1;;
3991;Нижегородская область;"ГБУ НО ""ГОСВЕТУПРАВЛЕНИЕ ГО Г.Н.НОВГОРОД""";АПРвет;ППМ;;;1;;
3992;Томская область;"ОГАУЗ ""ПОЛИКЛИНИКА №4""";КРД-2;ППС;Электрон;"АРЦ-""ОКО"" ";1;14 532 000,00;
3993;Москва;"АО ""НАЦИМБИО""";КРД-2;CR;Гелпик;"""РЕНЕКС-2"" ";1;5700000;
3994;Москва;"АО ""НАЦИМБИО""";КРД-2;CR;Гелпик;"""РЕНЕКС-2"" ";1;5700000;
3995;Москва;"АО ""НАЦИМБИО""";КРД-2;CR;Гелпик;"""РЕНЕКС-2"" ";1;5700000;
3996;Москва;"АО ""НАЦИМБИО""";КРД-2;CR;Гелпик;"""РЕНЕКС-2"" ";1;5700000;
3997;Москва;"АО ""НАЦИМБИО""";КРД-2;CR;Гелпик;"""РЕНЕКС-2"" ";1;5700000;
3998;Москва;"АО ""НАЦИМБИО""";КРД-2;CR;Гелпик;"""РЕНЕКС-2"" ";1;5700000;
3999;Москва;"АО ""НАЦИМБИО""";КРД-2;CR;Гелпик;"""РЕНЕКС-2"" ";1;5700000;
4000;Москва;"АО ""НАЦИМБИО""";КРД-2;CR;Гелпик;"""РЕНЕКС-2"" ";1;5700000;
4001;Москва;"АО ""НАЦИМБИО""";КРД-2;CR;Гелпик;"""РЕНЕКС-2"" ";1;5700000;
4002;Москва;"АО ""НАЦИМБИО""";КРД-2;CR;Гелпик;"""РЕНЕКС-2"" ";1;5700000;
4003;Московская область;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ МОСКОВСКОЙ ОБЛАСТИ ""ДОМОДЕДОВСКАЯ ЦЕНТРАЛЬНАЯ ГОРОДСКАЯ БОЛЬНИЦА"" ";КРТ;ППД1;Адани;«УНИЭКСПЕРТ»( 90/30 50;1;24 953 333,33;
4004;Омская область;"КУ ОО ""ЦЕНТР ЗАКУПОК В СФЕРЕ ЗДРАВООХРАНЕНИЯ""";МРТ;1,5;;;1;;27.10.2020 11:30
4005;Белгородская область;УПРАВЛЕНИЕ ГОСУДАРСТВЕННОГО ЗАКАЗА И ЛИЦЕНЗИРОВАНИЯ БЕЛГОРОДСКОЙ ОБЛАСТИ;;АПР;;;1;не состоялся;17.11.2020 9:45
4006;Белгородская область;УПРАВЛЕНИЕ ГОСУДАРСТВЕННОГО ЗАКАЗА И ЛИЦЕНЗИРОВАНИЯ БЕЛГОРОДСКОЙ ОБЛАСТИ;;АПР;;;1;не состоялся;17.11.2020 9:45
4007;Самарская область;ГЛАВНОЕ УПРАВЛЕНИЕ ОРГАНИЗАЦИИ  ТОРГОВ;КРТ;ППД2т;Адани;"""УНИЭКСПЕРТ"" 90/90 65";1;26 680 000,00;28.10.2020 11:15
4008;Волгоградская область;ОБЛКОМЗАКУПКИ;АПР;ППМ;Ренмедпром;Дельта;1;6 247 360,00;30.10.2020 11:00
4009;Чувашская Республика - Чувашия;ГОССЛУЖБА ЧУВАШИИ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕ И ТАРИФАМ;АПР;ППМ;Гелпик;Ренекс;1;7 210 340,00;
4010;Тюменская область;УПРАВЛЕНИЕ ГОСУДАРСТВЕННЫХ ЗАКУПОК ТЮМЕНСКОЙ ОБЛАСТИ;Ма;плюм УЗИ и др.;Ворсма ТД;"ВМК ""Лучевая диагностика» на базе шасси ПАЗ";1;18 800 000,00;28.10.2020 11:05
4011;Калининградская область;"ГКУ КО ""ЦЕНТР ТОРГОВ""";РХА;УРИ;Амико;АРХП-«АМИКО» ;1;8 300 000,00;
4012;Республика Ингушетия;КОМИТЕТ ГОСЗАКАЗА ИНГУШЕТИИ;КРД-2;ППМ;Philips;DuraDiagnost F30 ;1;13 953 955,30;27.10.2020 9:17
4013;Республика Ингушетия;КОМИТЕТ ГОСЗАКАЗА ИНГУШЕТИИ;РХА;УРИ;Philips;BV Endura;1;9 993 865,00;27.10.2020 9:17
4014;Ростовская область;"ФКУ ""СКОУМТС МВД РОССИИ""";КТ;128;Электрон;КТР;1;64 870 000,00;28.10.2020 12:20
4015;Владимирская область;ДЕПАРТАМЕНТ ИМУЩЕСТВЕННЫХ И ЗЕМЕЛЬНЫХ ОТНОШЕНИЙ ВЛАДИМИРСКОЙ ОБЛАСТИ;КРД-3;УРИ+ППМ;Адани;"""УНИЭКСПЕРТ 3 ПЛЮС""";1;17 647 983,34;30.10.2020 9:33
4016;Вологодская область;КОМИТЕТ ГОСЗАКАЗА  ОБЛАСТИ;КТ;128;GE;Revolution EVO ;1;53 592 000,00;30.10.2020 12:10
4017;Омская область;"КУ ОО ""ЦЕНТР ЗАКУПОК В СФЕРЕ ЗДРАВООХРАНЕНИЯ""";КТ;64;GE;Ingenuity CT ;1;53 000 000,00;27.10.2020 11:05
4018;Ханты-Мансийский Автономный округ - Югра АО;ДЕПГОСЗАКАЗА ЮГРЫ;КРТ;ППД2;Рениннмед;«РИМ АМ») 90/90 65;1;24 949 966,67;27.10.2020 10:19
4019;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;КРД-3жц;ППС+ППД;ЭлектронЖЦ;КРД- «ЭКСПЕРТ»;1;54 743 720,00;
4020;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;КРД-3жц;ППС+ППД;ЭлектронЖЦ;КРД- «ЭКСПЕРТ»;1;54 743 720,00;
4021;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;КРД-3жц;ППС+ППД;ЭлектронЖЦ;КРД- «ЭКСПЕРТ»;1;54 743 720,00;
4022;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;КРД-3жц;ППС+ППД;ЭлектронЖЦ;КРД- «ЭКСПЕРТ»;1;54 743 720,00;
4023;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;КРД-3жц;ППС+ППД;ЭлектронЖЦ;КРД- «ЭКСПЕРТ»;1;54 743 720,00;
4024;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;КРД-3жц;ППС+ППД;ЭлектронЖЦ;КРД- «ЭКСПЕРТ»;1;54 743 720,00;
4025;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;КРД-3жц;ППС+ППД;ЭлектронЖЦ;КРД- «ЭКСПЕРТ»;1;54 743 720,00;
4026;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;КРД-3жц;ППС+ППД;ЭлектронЖЦ;КРД- «ЭКСПЕРТ»;1;54 743 720,00;
4027;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;КРД-3жц;ППС+ППД;ЭлектронЖЦ;КРД- «ЭКСПЕРТ»;1;54 743 720,00;
4028;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;КРД-3жц;ППС+ППД;ЭлектронЖЦ;КРД- «ЭКСПЕРТ»;1;54 743 720,00;
4029;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;КРД-3жц;ППС+ППД;ЭлектронЖЦ;КРД- «ЭКСПЕРТ»;1;54 743 720,00;
4030;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;КРД-3жц;ППС+ППД;ЭлектронЖЦ;КРД- «ЭКСПЕРТ»;1;54 743 720,00;
4031;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;КРД-3жц;ППС+ППД;ЭлектронЖЦ;КРД- «ЭКСПЕРТ»;1;54 743 720,00;
4032;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;КРД-3жц;ППС+ППД;ЭлектронЖЦ;КРД- «ЭКСПЕРТ»;1;54 743 720,00;
4033;Москва;"ГБУЗ ""ГКБ № 13 ДЗМ""";РХА;;н/д;;1;16 300 000,00;
4034;Свердловская область;"ООО ""Швабе-Урал""";;Фа;;;1;;16.10.2020 19:25
4035;Омская область;"КУ ОО ""ЦЕНТР ЗАКУПОК В СФЕРЕ ЗДРАВООХРАНЕНИЯ""";МРТ;1,5;;;1;;27.10.2020 10:25
4036;Белгородская область;УПРАВЛЕНИЕ ГОСУДАРСТВЕННОГО ЗАКАЗА И ЛИЦЕНЗИРОВАНИЯ БЕЛГОРОДСКОЙ ОБЛАСТИ;Ф;ППС;Гелпик;«РЕНЕКС-Ф5000», исполнение 5;1;7 011 855,00;
4037;Москва;ЦКБ РАН;КРТ;ППД2;Siemens;LuminosdRFMax;1;44 649 590,00;30.10.2020 11:30
4038;Москва;ЦКБ РАН;АГ;ПП;Philips;Azurion 7 М20;1;76 207 000,00;30.10.2020 11:00
4039;Курганская область;"ФГБУ ""НМИЦ ТО ИМЕНИ АКАДЕМИКА Г.А. ИЛИЗАРОВА"" МИНЗДРАВА РОССИИ";РХА;УРИ;GE;OEC Elite ;1;17 498 880,00;30.10.2020 9:50
4040;Чувашская Республика - Чувашия;ГОССЛУЖБА ЧУВАШИИ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕ И ТАРИФАМ;КРД-2;ППС;МТЛ;«Р-500 «Дуограф» по ;1;12 900 000,00;30.10.2020 11:40
4041;Кемеровская область;"ГКУ ""АЗ СЗ""";АПР;ППМ;Электрон;"АПР-""ОКО"" ";1;7 000 000,00;29.10.2020 10:10
4042;Вологодская область;КОМИТЕТ ГОСЗАКАЗА  ОБЛАСТИ;АПР;ППМ;Medical ECONET;MEX+100;1;3 268 350,00;29.10.2020 12:15
4043;Москва;ЦКБ РАН;МРТ;3;;;1;;30.10.2020 11:15
4044;Москва;ЦКБ РАН;КТ;64;GE;Ingenuity CT ;1;65 570 000,00;29.10.2020 12:15
4045;Московская область;"ФГКУ ""ЦФИМТ"" МИНОБОРОНЫ РОССИИ";КРТ;;;;1;;03.11.2020 9:30
4046;Московская область;"ФГКУ ""ЦФИМТ"" МИНОБОРОНЫ РОССИИ";КРТ;;;;1;;03.11.2020 9:30
4047;Нижегородская область;"ГКУ НО ""ЦРЗ НО""";Ф;ПП;Гелпик;«РЕНЕКС-Ф5000», исполнение 5;1;6 500 000,00;03.11.2020 10:30
4048;Забайкальский край;"ГКУ ""ЗАБГОСЗАКУП""";КРТ;ППД2т;Shimadzu;SONIALVISION G4 ;1;38 918 305,00;03.11.2020 12:30
4049;Курганская область;"ГКУ ""ЦЗБУ КО""";РХА;УРИ;Philips;BV Pulsera;1;10 445 985,49;05.11.2020 7:15
4050;Москва;"ФГУП ""МОСКОВСКОЕ ПРОП"" МИНТРУДА РОССИИ";АПР;ППМ;DIXION ;Remodix 9507 ;1;7 933 135,00;03.11.2020 11:45
4051;Москва;"ФГУП ""МОСКОВСКОЕ ПРОП"" МИНТРУДА РОССИИ";АПР;ППМ;DIXION ;Remodix 9507 ;1;7 933 135,00;03.11.2020 11:45
4052;Москва;"ФГУП ""МОСКОВСКОЕ ПРОП"" МИНТРУДА РОССИИ";АПР;ППМ;DIXION ;Remodix 9507 ;1;7 933 135,00;03.11.2020 11:45
4053;Москва;"ФГУП ""МОСКОВСКОЕ ПРОП"" МИНТРУДА РОССИИ";АПР;ППМ;DIXION ;Remodix 9507 ;1;7 933 135,00;03.11.2020 11:45
4054;Астраханская область;"ГКУ АО ""РЦОЗ""";КРД-3;УРИ+ППМ;МТЛ;«Р-500 «Дуограф» ;1;21 600 000,00;03.11.2020 12:10
4055;Иркутская область;МЕДСАНЧАСТЬ-36;АПР;ППМ;н/д;;1;7 115 000,00;22.10.2020 5:19
4056;Краснодарский край;"ГКУ КК ""ДГЗ""";КТ;64;Siemens;SOMATOM go.AII, вариант 1, ;1;48 800 000,00;02.11.2020 10:45
4057;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";КТжц;256;Toshiba/CanonЖЦ;;1;149 381 808,00;
4058;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";КТжц;256;Toshiba/CanonЖЦ;;1;149 381 808,00;
4059;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";КТжц;256;Toshiba/CanonЖЦ;;1;149 381 808,00;
4060;Новосибирская область;"ГКУ НСО ""УКСИС""";АПР;ППМ;Samsung;GM85;1;14 305 500,00;09.11.2020 9:35
4061;Новосибирская область;"ГКУ НСО ""УКСИС""";АПР;ППМ;Samsung;GM85;1;14 305 500,00;09.11.2020 9:35
4062;Новосибирская область;"ГКУ НСО ""УКСИС""";АПР;ППМ;Samsung;GM85;1;14 305 500,00;09.11.2020 9:35
4063;Амурская область;ДНЦ ФПД;М;ПП;МТЛ;«Маммо-4МТ-Плюс»;1;14 524 666,67;
4064;Томская область;ТОМСКИЙ НИМЦ;АПР;ППМ;Электрон;АПР-«ОКО» ;1;7 450 000,00;
4065;Новосибирская область;"ГКУ НСО ""УКСИС""";КРТ;ППД2т;Рениннмед;«РИМ АМ» ;1;24 625 000,00;11.11.2020 9:50
4066;Ямало-Ненецкий АО;ДЕПАРТАМЕНТ ГОСЗАКАЗА ЯНАО;Ф;ППС;Гелпик;«РЕНЕКС-Ф5000» ;1;7 372 000,00;20.11.2020 9:30
4067;Санкт-Петербург;"СПБ ГКУ ""ДИРЕКЦИЯ ПО ЗАКУПКАМ КОМИТЕТА ПО ЗДРАВООХРАНЕНИЮ""";РХА;ПП;Ziehm;Ziehm Vision RFD ;1;24 990 000,00;03.11.2020 9:40
4068;Санкт-Петербург;АДМИНИСТРАЦИЯ КОЛПИНСКОГО РАЙОНА САНКТ-ПЕТЕРБУРГА;КРД-2/СМ;ПП;Samsung;GU60A-65, ;1;16 500 000,00;05.11.2020 13:05
4069;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;Мжц;ПП;GEжц;Senographe Pristina ;1;27 667 707,05;
4070;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;Мжц;ПП;GEжц;Senographe Pristina ;1;27 667 707,05;
4071;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;Мжц;ПП;GEжц;Senographe Pristina ;1;27 667 707,05;
4072;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;Мжц;ПП;GEжц;Senographe Pristina ;1;27 667 707,05;
4073;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;Мжц;ПП;GEжц;Senographe Pristina ;1;27 667 707,05;
4074;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;Мжц;ПП;GEжц;Senographe Pristina ;1;27 667 707,05;
4075;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;Мжц;ПП;GEжц;Senographe Pristina ;1;27 667 707,05;
4076;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;Мжц;ПП;GEжц;Senographe Pristina ;1;27 667 707,05;
4077;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;Мжц;ПП;GEжц;Senographe Pristina ;1;27 667 707,05;
4078;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;Мжц;ПП;GEжц;Senographe Pristina ;1;27 667 707,05;
4079;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;Мжц;ПП;GEжц;Senographe Pristina ;1;27 667 707,05;
4080;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;Мжц;ПП;GEжц;Senographe Pristina ;1;27 667 707,05;
4081;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;Мжц;ПП;GEжц;Senographe Pristina ;1;27 667 707,05;
4082;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;Мжц;ПП;GEжц;Senographe Pristina ;1;27 667 707,05;
4083;Санкт-Петербург;СПБ БОЛЬНИЦА РАН;КТ;128;GE;Intenuity CT ;1;72 150 000,00;05.11.2020 11:55
4084;Омская область;"КУ ОО ""ЦЕНТР ЗАКУПОК В СФЕРЕ ЗДРАВООХРАНЕНИЯ""";РХА;УРИ;Амико;АРХП-«АМИКО» ;1;4 650 000,00;10.11.2020 11:30
4085;Санкт-Петербург;"СПБ ГКУ ""ДИРЕКЦИЯ ПО ЗАКУПКАМ КОМИТЕТА ПО ЗДРАВООХРАНЕНИЮ""";М;ПП;GE;Senographe Pristina ;1;19 000 000,00;
4086;Москва;"ГБУЗ ""ГКБ №40 ДЗМ""";РХА;ПП;GE;OEC;1;23 562 495,00;11.11.2020 9:17
4087;Москва;ФГБУ ФНКЦ ФХМ ФМБА РОССИИ;Ф;ПП;ПОНИ;«ФЦМ-Альфа» ;1;7 840 000,00;10.11.2020 10:00
4088;Кемеровская область;"ГКУ ""АЗ СЗ""";КТ;32;Siemens;SOMATOM go.Now / ;1;31 362 500,00;09.11.2020 9:38
4089;Кемеровская область;"ГКУ ""АЗ СЗ""";КТ;32;Siemens;SOMATOM go.Now / ;1;31 362 500,00;09.11.2020 9:38
4090;Кемеровская область;"ГКУ ""АЗ СЗ""";КТ;32;Siemens;SOMATOM go.Now / ;1;31 362 500,00;09.11.2020 9:38
4091;Кемеровская область;"ГКУ ""АЗ СЗ""";КТ;32;Siemens;SOMATOM go.Now / ;1;31 362 500,00;09.11.2020 9:38
4092;Кемеровская область;"ГКУ ""АЗ СЗ""";КТ;32;Siemens;SOMATOM go.Now / ;1;31 362 500,00;09.11.2020 9:38
4093;Республика Карелия;"ГБУЗ ""ПУДОЖСКАЯ ЦРБ""";;РХА;;;1;отменен;10.11.2020 10:15
4094;Санкт-Петербург;"СПБ ГКУ ""ДИРЕКЦИЯ ПО ЗАКУПКАМ КОМИТЕТА ПО ЗДРАВООХРАНЕНИЮ""";КРТ;ППД2;Адани;«УНИЭКСПЕРТ», 90/90 65;1;21 492 578,93;09.11.2020 10:20
4095;Нижегородская область;"ГКУ НО ""ЦРЗ НО""";;КРД-2 ;;;1;отменен;06.11.2020 10:50
4096;Вологодская область;КОМИТЕТ ГОСЗАКАЗА  ОБЛАСТИ;Ф;ПП;Гелпик;«РЕНКС –Ф5000» ;1;6 825 000,00;11.11.2020 9:35
4097;Вологодская область;КОМИТЕТ ГОСЗАКАЗА  ОБЛАСТИ;Ф;ПП;Гелпик;«РЕНКС –Ф5000» ;1;6 825 000,00;11.11.2020 9:35
4098;Вологодская область;КОМИТЕТ ГОСЗАКАЗА  ОБЛАСТИ;Ф;ПП;Гелпик;«РЕНКС –Ф5000» ;1;6 825 000,00;11.11.2020 9:35
4099;Краснодарский край;"ГКУ КК ""ДГЗ""";;КРТ;;;1;не состоялся;06.11.2020 10:15
4100;Иркутская область;ОГАУЗ ГИМДКБ;РХА;ПП;н/д;;1;12 700 000,00;
4101;Красноярский край;ФГБУ ФСНКЦ ФМБА РОССИИ;КТ;128;Hitachi;«Scenaria»;1;69 415 334,00;16.11.2020 14:00
4102;Санкт-Петербург;КОМИТЕТ ПО ГОСУДАРСТВЕННОМУ ЗАКАЗУ САНКТ-ПЕТЕРБУРГА;КТ;512;GE;Revolution CT ;1;161 500 000,00;06.11.2020 11:15
4103;Забайкальский край;"ГКУ ""ЗАБГОСЗАКУП""";М;ПП;Гелпик;Система маммографическая МХ ;1;10 000 000,00;11.11.2020 10:30
4104;Омская область;"КУ ОО ""ЦЕНТР ЗАКУПОК В СФЕРЕ ЗДРАВООХРАНЕНИЯ""";CR;;;;1;;11.11.2020 11:45
4105;Омская область;"КУ ОО ""ЦЕНТР ЗАКУПОК В СФЕРЕ ЗДРАВООХРАНЕНИЯ""";М;ПП;Ренмедпром;ОМИКРОН;1;13 089 688,25;11.11.2020 11:40
4106;Краснодарский край;"ГКУ КК ""ДГЗ""";;Ф;;;1;не состоялся;10.11.2020 11:55
4107;Ростовская область;УПРАВЛЕНИЕ ЗДРАВООХРАНЕНИЯ;КТ;64;Siemens;SOMATOM go.Up. ;1;40 000 000,00;10.11.2020 11:20
4108;Ростовская область;УПРАВЛЕНИЕ ЗДРАВООХРАНЕНИЯ;КТ;64;Siemens;SOMATOM go.Up. ;1;40 000 000,00;10.11.2020 11:20
4109;Брянская область;УПРАВЛЕНИЕ ГОСУДАРСТВЕННЫХ ЗАКУПОК БРЯНСКОЙ ОБЛАСТИ;;КРД-2;;;1;отменен;10.11.2020 9:50
4110;Омская область;"КУ ОО ""ЦЕНТР ЗАКУПОК В СФЕРЕ ЗДРАВООХРАНЕНИЯ""";Ф;ПП;Гелпик;«РЕНЕКС-Ф5000» ;1;6 460 000,00;10.11.2020 9:00
4111;Ставропольский край;КОМИТЕТ СК ПО ЗАКУПКАМ;Фа;;Ворсма ТД;«Передвижной флюорограф» ВМК3033-01 ;1;10 820 000,00;11.11.2020 12:30
4112;Ставропольский край;КОМИТЕТ СК ПО ЗАКУПКАМ;Фа;;Ворсма ТД;«Передвижной флюорограф» ВМК3033-01 ;1;10 820 000,00;11.11.2020 12:30
4113;Ставропольский край;КОМИТЕТ СК ПО ЗАКУПКАМ;Фа;;Ворсма ТД;«Передвижной флюорограф» ВМК3033-01 ;1;10 820 000,00;11.11.2020 12:30
4114;Ставропольский край;КОМИТЕТ СК ПО ЗАКУПКАМ;Фа;;Ворсма ТД;«Передвижной флюорограф» ВМК3033-01 ;1;10 820 000,00;11.11.2020 12:30
4115;Ставропольский край;КОМИТЕТ СК ПО ЗАКУПКАМ;Фа;;Ворсма ТД;«Передвижной флюорограф» ВМК3033-01 ;1;10 820 000,00;11.11.2020 12:30
4116;Ставропольский край;КОМИТЕТ СК ПО ЗАКУПКАМ;Фа;;Ворсма ТД;«Передвижной флюорограф» ВМК3033-01 ;1;10 820 000,00;11.11.2020 12:30
4117;Ставропольский край;КОМИТЕТ СК ПО ЗАКУПКАМ;Фа;;Ворсма ТД;«Передвижной флюорограф» ВМК3033-01 ;1;10 820 000,00;11.11.2020 12:30
4118;Ставропольский край;КОМИТЕТ СК ПО ЗАКУПКАМ;Фа;;Ворсма ТД;«Передвижной флюорограф» ВМК3033-01 ;1;10 820 000,00;11.11.2020 12:30
4119;Ставропольский край;КОМИТЕТ СК ПО ЗАКУПКАМ;Фа;;Ворсма ТД;«Передвижной флюорограф» ВМК3033-01 ;1;10 820 000,00;11.11.2020 12:30
4120;Ставропольский край;КОМИТЕТ СК ПО ЗАКУПКАМ;Фа;;Ворсма ТД;«Передвижной флюорограф» ВМК3033-01 ;1;10 820 000,00;11.11.2020 12:30
4121;Ставропольский край;КОМИТЕТ СК ПО ЗАКУПКАМ;Фа;;Ворсма ТД;«Передвижной флюорограф» ВМК3033-01 ;1;10 820 000,00;11.11.2020 12:30
4122;Ставропольский край;КОМИТЕТ СК ПО ЗАКУПКАМ;Фа;;Ворсма ТД;«Передвижной флюорограф» ВМК3033-01 ;1;10 820 000,00;11.11.2020 12:30
4123;Ставропольский край;КОМИТЕТ СК ПО ЗАКУПКАМ;Фа;;Ворсма ТД;«Передвижной флюорограф» ВМК3033-01 ;1;10 820 000,00;11.11.2020 12:30
4124;Ставропольский край;КОМИТЕТ СК ПО ЗАКУПКАМ;Фа;;Ворсма ТД;«Передвижной флюорограф» ВМК3033-01 ;1;10 820 000,00;11.11.2020 12:30
4125;Ставропольский край;КОМИТЕТ СК ПО ЗАКУПКАМ;Фа;;Ворсма ТД;«Передвижной флюорограф» ВМК3033-01 ;1;10 820 000,00;11.11.2020 12:30
4126;Ставропольский край;КОМИТЕТ СК ПО ЗАКУПКАМ;Фа;;Ворсма ТД;«Передвижной флюорограф» ВМК3033-01 ;1;10 820 000,00;11.11.2020 12:30
